ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"163.172.165.36","elite","AS12876","FR","Online S.A.S.","2","ONLINE","16379","socks4","4592","1","2024-11-06T05:27:01.868Z","66","1060","1615"
"136.243.174.243","elite","AS24940","DE","Hetzner Online GmbH","23","Hetzner","1080","socks4","5000","2","2024-11-06T05:27:01.854Z","100","14933","14937"
"176.112.96.2","elite","AS198616","RU","MediaKvant Ltd.","81","MediaKvant Ltd.","3629","socks4","2895","1","2024-11-06T05:27:01.859Z","100","1487","1492"
"222.129.32.173","elite","AS4808","CN","China Unicom Beijing Province Network","170","N/A","57114","socks4","1103","1","2024-11-06T05:27:01.770Z","75","6219","8241"
"144.126.142.132","elite","AS40021","US","Nubes, LLC","99","Contabo Inc","6121","socks4","1510","1","2024-11-06T05:27:01.860Z","99","1031","1046"
"31.43.179.99","elite","AS209242","KZ","Cloudflare London, LLC","82","\"Betting company PM Bet\" LLC","80","socks4","3508","1","2024-11-06T05:27:01.871Z","100","1107","1107"
"189.201.187.3","elite","AS28438","MX","IP Matrix, S.A. de C.V.","190","IP Matrix, S.A. de C.V","4145","socks4","2689","81","2024-11-06T05:27:01.766Z","98","1578","1607"
"125.229.3.41","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","249","Chunghwa Telecom Co. Ltd.","80","socks5","1806","1","2024-11-06T05:27:01.866Z","99","8079","8177"
"190.142.86.9","elite","AS21826","VE","Corporación Telemic C.A.","141","Corporación Telemic C.A","8080","socks5","3309","1","2024-11-06T05:27:01.955Z","94","1394","1488"
"38.127.179.26","elite","AS174","US","Cogent Communications","77","Torlandia Trading SRL","42908","socks4","461","1","2024-11-06T05:26:47.168Z","100","8225","8242"
"95.142.40.99","elite","AS210079","RU","EuroByte LLC","49","N/A","42140","socks4","705","1","2024-11-06T05:26:47.263Z","98","8157","8288"
"191.209.43.16","elite","AS27699","BR","Vivo","289","TELEF�NICA BRASIL S.A","5678","socks4","711","1","2024-11-06T05:26:47.268Z","100","8284","8307"
"132.148.167.243","elite","N/A","US","GoDaddy.com, LLC","135","N/A","3875","socks4","4606","2","2024-11-06T05:26:47.166Z","94","1116","1184"
"209.97.175.231","elite","AS14061","SG","DigitalOcean, LLC","181","DigitalOcean, LLC","45337","socks5","4804","1","2024-11-06T05:26:47.269Z","96","7986","8300"
"200.125.44.242","elite","AS6057","UY","Administracion Nacional de Telecomunicaciones","199","Administracion Nacional de Telecomunicaciones","4145","socks4","2299","1","2024-11-06T05:26:46.863Z","100","1569","1569"
"103.83.36.1","elite","AS136171","US","Medha Hosting","184","Medhahosting in","5678","socks4","2292","1","2024-11-06T05:26:46.865Z","100","1468","1473"
"66.228.35.209","elite","AS63949","US","Akamai Technologies, Inc.","75","Linode","56560","socks4","468","1","2024-11-06T05:26:46.955Z","100","996","997"
"199.101.102.110","elite","N/A","US","QuickPacket, LLC","78","N/A","6272","socks4","3006","1","2024-11-06T05:26:46.766Z","94","714","759"
"142.54.229.249","elite","AS46562","US","Performive LLC","186","Performive LLC","4145","socks4","545","1","2024-11-06T05:26:46.956Z","97","97","100"
"95.64.144.66","elite","AS8359","RU","MTS PJSC","83","Customers P2P 2022 00 WAN","1080","socks4","73","1","2024-11-06T05:26:46.761Z","100","8343","8352"
"124.133.20.234","elite","AS4837","CN","CHINA UNICOM China169 Backbone","169","JN srd","7302","socks5","271","1","2024-11-06T05:26:46.765Z","83","6837","8198"
"79.150.153.165","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","90","N/A","8080","socks5","2399","2","2024-11-06T05:26:46.765Z","100","1545","1546"
"103.4.179.187","elite","AS4766","KR","Korea Telecom","296","Netip","4153","socks4","1392","1","2024-11-06T05:26:46.857Z","100","1537","1543"
"201.76.122.177","elite","AS262794","BR","Vero S.A","291","Vero S.A","20183","socks4","4690","1","2024-11-06T05:26:46.763Z","83","6896","8276"
"101.34.7.205","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","216","Tencent Cloud Computing (Beijing) Co., Ltd","1080","socks4","4493","1","2024-11-06T05:26:46.957Z","82","1058","1290"
"94.236.153.96","elite","AS8866","BG","Vivacom Bulgaria EAD","60","Bulgarian Telecommunications Company Plc.","4145","socks4","1198","1","2024-11-06T05:26:46.868Z","8","704","8319"
"118.174.65.251","elite","AS23969","TH","TOT Public Company Limited","163","TOT Public Company Limited","4145","socks4","3609","1","2024-11-06T05:26:35.871Z","99","8220","8345"
"159.65.188.178","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","53257","socks4","698","1","2024-11-06T05:26:35.956Z","100","791","791"
"87.106.254.50","elite","AS8560","DE","1&1 IONOS SE","25","SCHLUND","21025","socks4","5008","1","2024-11-06T05:26:35.954Z","100","1464","1465"
"93.87.73.58","elite","AS8400","RS","Telekom Srbija","43","N/A","1080","socks4","1404","4","2024-11-06T05:26:35.872Z","100","8217","8232"
"178.72.192.37","elite","AS41046","CZ","Nejcz Internethome","31","Nej.cz s.r.o.","5678","socks4","3510","1","2024-11-06T05:26:35.867Z","98","8127","8301"
"109.184.211.107","elite","AS12389","RU","NMTS","55","N/A","7788","socks5","1614","1","2024-11-06T05:26:35.656Z","67","937","1405"
"207.55.240.100","elite","AS11989","US","HostPapa","93","HostPapa","63102","socks4","3989","1","2024-11-06T05:26:35.870Z","95","1417","1495"
"27.123.3.141","elite","AS45706","ID","PT Tele Globe Global","200","N/A","4145","socks4","995","1","2024-11-06T05:26:35.660Z","99","8209","8297"
"104.23.126.8","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","65","1","2024-11-06T05:26:35.661Z","100","8325","8325"
"171.244.10.204","elite","N/A","VN","VIETEL","296","N/A","38819","socks4","459","1","2024-11-06T05:26:35.864Z","97","1503","1550"
"149.20.253.52","elite","AS18615","US","Mainstream Fiber Networks, LLC","95","Mainstream Fiber Networks, LLC","12551","socks4","3507","1","2024-11-06T05:26:35.871Z","100","8365","8383"
"104.251.212.11","elite","AS394727","US","Nodisto IT, LLC","108","Nodisto IT, LLC","19730","socks4","3093","1","2024-11-06T05:26:35.862Z","63","692","1104"
"171.244.140.160","elite","AS38731","VN","VIETEL","176","Viettel Corporation","13310","socks4","1496","1","2024-11-06T05:26:35.860Z","95","1531","1615"
"172.67.181.103","elite","AS13335","CA","Cloudflare, Inc.","80","Cloudflare, Inc.","80","socks5","4887","1","2024-11-06T05:26:35.658Z","100","8247","8249"
"184.95.235.194","elite","AS22652","CA","Videotron Telecom Ltee","85","Videotron Ltee","1080","socks5","397","1","2024-11-06T05:26:35.665Z","100","1596","1600"
"197.234.13.11","elite","AS36902","SC","Intelvision","119","Intelvision Ltd","4145","socks4","5006","1","2024-11-06T05:26:35.656Z","99","8247","8292"
"176.74.118.133","elite","AS34797","GE","EGRISI","97","Systemnet LTD","5678","socks4","1125","1","2024-11-06T05:26:35.858Z","99","8239","8304"
"111.92.164.242","elite","AS23671","ID","Greem Pramuka","193","N/A","52347","socks4","3402","1","2024-11-06T05:26:35.869Z","45","3745","8314"
"103.89.235.241","elite","AS136308","IN","Deenet Services Pvt. Ltd","142","Deenet Services Pvt Ltd","84","socks4","1206","1","2024-11-06T05:26:35.868Z","100","8102","8140"
"43.134.169.72","elite","AS132203","SG","Aceville Pte.ltd","150","N/A","443","socks5","4202","1","2024-11-06T05:26:35.865Z","91","7594","8336"
"190.145.182.4","elite","AS14080","CO","Telmex Colombia S.A.","141","Telmex Colombia S.A.","4153","socks4","1895","81","2024-11-06T05:26:35.657Z","100","1544","1551"
"89.171.116.65","elite","AS12741","PL","NETIA","78","N/A","65000","socks4","3501","1","2024-11-06T05:26:18.154Z","100","1609","1612"
"179.109.193.228","elite","AS61893","BR","RM dos Santos Informatica","197","RM dos Santos Informatica","4153","socks4","1180","1","2024-11-06T05:26:18.071Z","56","4668","8356"
"211.137.33.22","elite","AS56044","CN","China Mobile communications corporation","398","China Mobile Communications Corporation","80","socks5","1473","1","2024-11-06T05:26:18.070Z","92","7602","8287"
"149.202.76.10","elite","AS16276","FR","OVH SAS","6","OVH","55904","socks5","4505","1","2024-11-06T05:26:17.577Z","95","7749","8199"
"185.171.54.26","elite","AS44285","IR","Shahrad","97","N/A","4153","socks4","511","1","2024-11-06T05:26:17.561Z","97","8119","8379"
"103.196.136.158","elite","AS134707","PH","Royal Cablevision Corp.","191","Royal Cablevision Corp","7497","socks5","1389","1","2024-11-06T05:26:17.762Z","97","8055","8343"
"186.211.6.137","elite","AS53156","BR","PortalSAT Telecom","214","eliziane oliveira sobrinho","4145","socks4","865","1","2024-11-06T05:26:17.756Z","98","8147","8295"
"80.234.126.41","elite","AS12389","RU","Rostelecom networks","71","JSC VolgaTelecom Samara branch","7788","socks5","3392","1","2024-11-06T05:26:17.759Z","56","791","1409"
"69.161.21.126","elite","AS7782","US","Alaska Communications Systems Group, Inc.","175","Alaska Communications Systems Group, Inc.","3128","socks4","1399","1","2024-11-06T05:26:17.763Z","100","8231","8251"
"103.115.255.225","elite","N/A","BD","Star Internet Service","185","N/A","36331","socks4","3706","1","2024-11-06T05:26:17.578Z","95","1520","1595"
"178.132.0.73","elite","AS49981","NL","WorldStream B.V.","11","Worldstream","11275","socks4","1609","1","2024-11-06T05:26:17.860Z","100","555","555"
"103.82.8.189","elite","AS136156","BD","FNF Online","160","N/A","4153","socks4","3204","1","2024-11-06T05:26:17.562Z","86","941","1098"
"192.227.137.47","elite","AS36352","US","HostPapa","110","RackNerd LLC","7808","socks4","1296","1","2024-11-06T05:26:17.861Z","100","1132","1133"
"172.67.207.121","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3697","1","2024-11-06T05:26:17.564Z","100","1258","1258"
"186.251.255.93","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","296","Seanet Telecom Carazinho Eireli","31337","socks4","3198","1","2024-11-06T05:26:17.859Z","100","8203","8235"
